kind	id	sha256	verdict	notes
asset_page	pixels-checker-000.png	7bb28113068a78da97e0730e2e76ef49749d897614f364b6efe8a7522934460c	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-001.png	e29ed3eb792d302405e8929b607a96c75f81fecf762d6f523b49c2f6c9c91caa	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-002.png	d93ad5d6a5bc7aa2408a783ca3a6d3780a442beea682ec0c8e96fe84141e8067	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-003.png	6f5e1260c110b79d88b801b46762433a84698273fdacce22c5531f5f503c3848	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-004.png	66c1ca70f77c6cb41779ec1a4f9ccd2499c576774655b1c8e958caab5c393b76	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-005.png	965e254bb8bf059c2bcbad1fa92daab77b37894ced3af857920b8dda162788e2	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-006.png	c578c0ee7141695a32e1831b0de59b7b644aac084e4c593a92c3a980fb0fdd8a	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-007.png	740d24774fda8d69e88d6fdd49d5ed21a9c2f91135affa30ae2092aeb40d550e	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-008.png	af2ae37ec6049af91f02bfb9d564f01d8acd2fd60273aaaddc94e35d2de9c657	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-009.png	158c9569f6a3d38e07e29d063e4afa843dc42f35822d7cd9b09d3a7c35e29e5b	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-010.png	85d70940724bc328aa75b0de3920c8203bcd9124d67f70146476addf6985c1ce	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
asset_page	pixels-checker-011.png	dd1f3a82b2bfa1b3daa9d5fda490567a5b331471f9c2ff93d5b12b18d774f268	PASS	Manually reviewed complete uncropped light/dark/checker frame-mip page; structural/pixel evidence only
